6389, 353.9, 14.1, 0.0905, no trigger, navigating, null
6406, 354.2, 13.6, 0.0906, no trigger, navigating, null
6423, 354.5, 13.1, 0.0907, no trigger, navigating, null
6440, 354.8, 12.6, 0.0908, no trigger, navigating, null
6457, 355.1, 12.2, 0.0909, no trigger, navigating, null
6475, 355.4, 11.7, 0.091, no trigger, navigating, null
6492, 355.7, 11.3, 0.0911, no trigger, navigating, null
6509, 355.9, 10.8, 0.0911, no trigger, navigating, null
6526, 356.2, 10.4, 0.0912, no trigger, navigating, null
6542, 356.5, 10, 0.0913, no trigger, navigating, null
6560, 356.5, 10, 0.0913, no trigger, navigating, null
6577, 356.5, 10, 0.0913, no trigger, navigating, null
6593, 356.5, 10, 0.0913, no trigger, navigating, null
6610, 356.5, 10, 0.0913, no trigger, navigating, null
6627, 356.5, 10, 0.0913, no trigger, navigating, null
6643, 356.5, 10, 0.0913, no trigger, navigating, null
6659, 356.5, 10, 0.0913, no trigger, navigating, null
6677, 356.5, 10, 0.0913, no trigger, navigating, null
6694, 356.5, 10, 0.0913, no trigger, navigating, null
6710, 356.5, 10, 0.0913, no trigger, navigating, null
6728, 356.5, 10, 0.0913, no trigger, navigating, null
6746, 356.5, 10, 0.0913, no trigger, navigating, null
6762, 356.5, 10, 0.0913, no trigger, navigating, null
6779, 356.5, 10, 0.0913, leftTrigger, navigating, null
6796, 355.9, 10.8, 0.0911, no trigger, navigating, null
6814, 355.4, 11.7, 0.091, no trigger, navigating, null
6831, 354.8, 12.6, 0.0908, no trigger, navigating, null
6847, 354.3, 13.4, 0.0906, no trigger, navigating, null
6864, 353.8, 14.2, 0.0905, no trigger, navigating, null
6882, 353.2, 15, 0.0903, no trigger, navigating, null
6898, 352.7, 15.9, 0.0902, no trigger, navigating, null
6915, 352.2, 16.7, 0.09, no trigger, navigating, null
6932, 351.7, 17.5, 0.0898, no trigger, navigating, null
6949, 351.1, 18.3, 0.0897, no trigger, navigating, null
6966, 350.6, 19, 0.0895, no trigger, navigating, null
6983, 350.1, 19.8, 0.0894, no trigger, navigating, null
7000, 349.6, 20.6, 0.0892, no trigger, navigating, null
7016, 349.2, 21.3, 0.0891, no trigger, navigating, null
7033, 348.7, 22.1, 0.089, no trigger, navigating, null
7052, 348.2, 22.9, 0.0888, no trigger, navigating, null
7068, 347.7, 23.6, 0.0887, no trigger, navigating, null
7085, 347.2, 24.3, 0.0885, no trigger, navigating, null
7103, 346.7, 25.1, 0.0884, no trigger, navigating, null
7121, 346.3, 25.9, 0.0882, no trigger, navigating, null
7139, 345.8, 26.6, 0.0881, no trigger, navigating, null
